ecosystem,month,published reports
Git,2025-10-01,1
Go,2025-03-01,8
Go,2026-05-01,10
Maven,2025-03-01,1
Maven,2025-11-01,1
NuGet,2024-06-01,729
NuGet,2024-10-01,2
NuGet,2024-12-01,7
NuGet,2025-02-01,5
NuGet,2025-03-01,3
NuGet,2025-12-01,14
NuGet,2026-03-01,11
NuGet,2026-04-01,2
Packagist,2026-05-01,1
PyPI,2022-05-01,10
PyPI,2022-08-01,10
PyPI,2023-01-01,2
PyPI,2023-02-01,6170
PyPI,2023-03-01,144
PyPI,2023-04-01,8
PyPI,2023-05-01,67
PyPI,2023-06-01,8
PyPI,2023-07-01,4
PyPI,2023-08-01,13
PyPI,2023-09-01,20
PyPI,2023-10-01,20
PyPI,2023-11-01,3
PyPI,2023-12-01,8
PyPI,2024-02-01,1
PyPI,2024-03-01,13
PyPI,2024-04-01,2
PyPI,2024-05-01,6
PyPI,2024-06-01,1715
PyPI,2024-07-01,219
PyPI,2024-08-01,134
PyPI,2024-09-01,100
PyPI,2024-10-01,118
PyPI,2024-11-01,226
PyPI,2024-12-01,111
PyPI,2025-01-01,26
PyPI,2025-02-01,106
PyPI,2025-03-01,128
PyPI,2025-04-01,68
PyPI,2025-05-01,85
PyPI,2025-06-01,71
PyPI,2025-07-01,193
PyPI,2025-08-01,266
PyPI,2025-09-01,64
PyPI,2025-10-01,75
PyPI,2025-11-01,77
PyPI,2025-12-01,86
PyPI,2026-01-01,92
PyPI,2026-02-01,147
PyPI,2026-03-01,221
PyPI,2026-04-01,186
PyPI,2026-05-01,214
PyPI,2026-06-01,163
RubyGems,2023-04-01,2
RubyGems,2023-05-01,4
RubyGems,2023-06-01,2
RubyGems,2023-07-01,5
RubyGems,2023-08-01,2
RubyGems,2023-10-01,1
RubyGems,2024-05-01,1
RubyGems,2024-06-01,783
RubyGems,2024-07-01,2
RubyGems,2024-10-01,4
RubyGems,2024-12-01,1
RubyGems,2025-02-01,3
RubyGems,2025-03-01,4
RubyGems,2025-04-01,1
RubyGems,2025-06-01,3
RubyGems,2025-07-01,7
RubyGems,2025-08-01,1
RubyGems,2025-09-01,77
RubyGems,2025-12-01,33
RubyGems,2026-02-01,3
RubyGems,2026-03-01,20
RubyGems,2026-04-01,3
RubyGems,2026-05-01,7
RubyGems,2026-06-01,3
VSCode,2025-11-01,1
VSCode,2025-12-01,1
VSCode,2026-06-01,1
VSCode:https://open-vsx.org,2025-11-01,13
VSCode:https://open-vsx.org,2026-03-01,3
VSCode:https://open-vsx.org,2026-06-01,1
crates.io,2022-08-01,1
crates.io,2023-11-01,1
crates.io,2025-11-01,1
crates.io,2026-04-01,6
npm,2021-11-01,1
npm,2021-12-01,4
npm,2022-01-01,1
npm,2022-05-01,196
npm,2022-06-01,4943
npm,2022-07-01,814
npm,2022-08-01,1079
npm,2022-09-01,176
npm,2022-10-01,99
npm,2022-11-01,52
npm,2022-12-01,64
npm,2023-01-01,219
npm,2023-02-01,133
npm,2023-03-01,111
npm,2023-04-01,135
npm,2023-05-01,319
npm,2023-06-01,182
npm,2023-07-01,245
npm,2023-08-01,271
npm,2023-09-01,233
npm,2023-10-01,118
npm,2023-11-01,203
npm,2023-12-01,122
npm,2024-01-01,954
npm,2024-02-01,92
npm,2024-03-01,117
npm,2024-04-01,134
npm,2024-05-01,79
npm,2024-06-01,2563
npm,2024-07-01,785
npm,2024-08-01,214
npm,2024-09-01,953
npm,2024-10-01,932
npm,2024-11-01,716
npm,2024-12-01,778
npm,2025-01-01,743
npm,2025-02-01,775
npm,2025-03-01,1195
npm,2025-04-01,478
npm,2025-05-01,962
npm,2025-06-01,801
npm,2025-07-01,1031
npm,2025-08-01,35099
npm,2025-09-01,5579
npm,2025-10-01,1414
npm,2025-11-01,142163
npm,2025-12-01,1067
npm,2026-01-01,527
npm,2026-02-01,329
npm,2026-03-01,1048
npm,2026-04-01,619
npm,2026-05-01,1493
npm,2026-06-01,1137
